topic,aliases,topic_desc,knowledge_class,topic_desc_basic,knowledge_class_basic,tags,category
indoril_nerevar,"Lord Nerevar, Nerevar Moon-and-Star, Saint Nerevar","Indoril Nerevar, the Chimer Hortator and King of Resdayn, forged the First Council with the Dwemer in 1E 416. He died following the Battle of Red Mountain circa 1E 700 under fiercely disputed circumstances. The Tribunal Temple venerates him as Saint Nerevar, patron of warriors and House Redoran, while Ashlander cults await his prophesied return as the Nerevarine to cast down false gods and restore the ancestral promises.","scholar, dunmer, ashlander, tribunal_temple","Indoril Nerevar is the ancient Chimer king and Hortator who united his people against the Dwemer at the Battle of Red Mountain. He died under disputed circumstances shortly after this victory. The Tribunal Temple honors him as Saint Nerevar, while Ashlanders revere him as a prophet and await his reincarnation as the Nerevarine.","common, traveler, dunmer, ashlander, tribunal_temple","Chimer, Hortator, Resdayn, Red Mountain, First Council, Dwemer, Nerevarine, Azura, Almalexia, House Indoril, Tribunal",figures
azura,"Queen of Dawn and Dusk, Lady of Twilight","Azura, called the Queen of Dawn and Dusk, is a Daedric Prince whose sphere encompasses the liminal transitions of twilight, alongside mystery, magic, fate, and prophecy. She maintains a distinctly female image and commands an exceptionally devoted following, as she desires the love of her mortal subjects above all else. To the Dunmer, she is revered as one of the good Daedra and recognized as the Anticipation of Sotha Sil. The Ashlander tribes particularly uphold her ancient veneration, acknowledging her as cruel but wise. The Khajiit know her as Azurah, crediting her with introducing moon sugar to their kind. Her Oblivion realm is Moonshadow, and her summoning day is Hogithum, the 21st of First Seed.","priest, scholar, daedra, ashlander","Azura is a Daedric Prince of dawn and dusk, mystery, and prophecy. Known as the Queen of Dawn and Dusk, she is one of the few Daedra perceived as benevolent toward mortals, demanding their love and devotion. The Dunmer revere her as one of the good Daedra and the Anticipation of Sotha Sil, with the Ashlander tribes maintaining particularly strong veneration of her ancient traditions.","common, daedra, priest, ashlander","Daedric Prince, Dawn and Dusk, Twilight, Prophecy, Anticipation of Sotha Sil, Good Daedra, Ashlanders, Azurah, Moonshadow, Hogithum, Dunmer",figures
barenziah,Queen Barenziah,"Barenziah is one of the most famous figures of the Third Era, serving as the first Queen of Morrowind under Imperial vassalage alongside her consort, the general Symmachus. Popular with the Dunmer yet largely ceremonial, she supported the Empire against Uriel Septim III during the War of the Red Diamond. Following Symmachus's death in a riot circa 3E 391, she abdicated and went into exile. She later played a crucial role in toppling the impostor Jagar Tharn and ending the Imperial Simulacrum, subsequently marrying King Eadwyre of Wayrest. Following the Miracle of Peace and Eadwyre's death, she returned to Morrowind as Queen Mother when her son Helseth claimed the throne. Her life remains subject to rumor and disputed biographical accounts.","scholar, dunmer, imperial, mournhold","Barenziah was the first Queen of Morrowind under Imperial vassalage. After her consort Symmachus was killed and she was forced to abdicate, she went into exile. She later helped overthrow the impostor Jagar Tharn, ending the Imperial Simulacrum, and subsequently married King Eadwyre of Wayrest. She eventually returned to Morrowind to serve as Queen Mother when her son Helseth became King.","common, traveler, dunmer, imperial, mournhold","Queen of Morrowind, Symmachus, Imperial Simulacrum, Jagar Tharn, Wayrest, Eadwyre, Helseth, Morgiah, War of the Red Diamond, Miracle of Peace, Queen Mother",figures
divayth_fyr,Lord Fyr,"Divayth Fyr is an ancient Dunmer sorcerer of Great House Telvanni, estimated at four thousand years old. Though he holds no seat on the Telvanni Council, he serves as an advisor and upholds their directives. A former Psijic Order member, he is compared to mages like Shalidor and Vanus Galerion. He resides in Tel Fyr on Vvardenfell, where he maintains the Corprusarium—a sanctuary for corprus victims, including the last living Dwarf, Yagrum Bagarn. He lives alongside four female clones he calls his daughters.","scholar, house_telvanni, mage","Divayth Fyr is a four-thousand-year-old Dunmer sorcerer of Great House Telvanni. He resides in his tower of Tel Fyr on Vvardenfell, where he maintains the Corprusarium, a sanctuary for those afflicted with corprus disease. There, he cares for Yagrum Bagarn, the last living Dwarf. Fyr lives alongside four female clones of himself whom he calls his daughters.","common, traveler, house_telvanni, mage, scholar","Dunmer, Telvanni, Tel Fyr, Corprusarium, Yagrum Bagarn, Psijic Order, Daedric armor, sorcerer, ancient, clones",figures
yagrum_bagarn,Last Living Dwarf,"Yagrum Bagarn is the last known living Dwemer, surviving the mysterious disappearance of his people. Formerly a Master Crafter in service to Lord Kagrenac, the chief Tonal Architect, he was absent during the calamity at Red Mountain. Upon returning to find his race vanished, he searched extensively for answers but contracted Corprus disease. Bloated and afflicted, he resides in the Corprusarium beneath Tel Fyr under the care of Divayth Fyr, who restored his sanity but failed to cure his body. A learned scholar, Yagrum studies theories of the disappearance and provides insight into Kagrenac's tools and texts such as Divine Metaphysics and The Egg of Time.","scholar, esoteric, dwemer, mage","Yagrum Bagarn is the last known living Dwemer. Bloated and afflicted with Corprus disease, he resides in the Corprusarium beneath Tel Fyr, cared for by the ancient wizard Divayth Fyr. He is a rare living source of knowledge on the Dwemer and their mysterious disappearance.","esoteric, dwemer","dwemer, dwarf, corprus, tel fyr, divayth fyr, kagrenac, tonal architect, red mountain, disappearance of the dwarves, divine metaphysics, egg of time",figures
caius_cosades,Caius,"Caius Cosades is the Imperial Grand Spymaster of the Blades operating in Vvardenfell. Stationed in Balmora, he poses as a skooma-addicted layabout, though his tolerance and sharp instincts betray his true nature. As the ranking Blades agent in the district, he directs intelligence efforts concerning the Sixth House and the Nerevarine prophecies. His superiors eventually recall him to the Imperial City amid concerns regarding his genuine addiction to moon sugar.","scholar, blades, imperial","Caius Cosades is the Imperial Grand Spymaster of the Blades in Vvardenfell. Operating from Balmora, he maintains a cover as a skooma-addicted old man while directing the Empire's intelligence network regarding the Sixth House threat.","common, traveler, imperial","Blades, Imperial, Balmora, Spymaster, Skooma, Nerevarine, Sixth House, Vvardenfell, Intelligence, Moon Sugar, Spy, Cyrodiil",figures
tribunal_temple,"Temple, Almsivi Temple","The Tribunal Temple is the native religion of the Dunmer, venerating the living gods Almalexia, Sotha Sil, and Vivec—collectively Almsivi. Under the Armistice, Vvardenfell remains a Temple preserve encompassing the city of Vivec, Ghostgate, and all sacred sites within the Ghostfence. The Temple holds strong bonds with the pious Houses Indoril and Redoran, and maintains amicable ties with Dres and Hlaalu. Relations with Imperial guilds are strained; the Temple sits on the Empire's Proscribed List of Hostile Cults, forbidding courtesy membership to adherents of the Imperial Citizenship Cult. While outlanders may join, most do so for services rather than faith. The Temple guards orthodoxy fiercely, suppressing dissenting cults and protecting Morrowind from the Blight emanating from Red Mountain.","priest, scholar, tribunal_temple, dunmer","The Tribunal Temple is the native religion of the Dunmer, worshipping the living gods Almalexia, Sotha Sil, and Vivec, known as Almsivi. It controls the Vvardenfell district as a Temple preserve under the Armistice. The Temple maintains strong ties with Houses Indoril and Redoran, but strained relations with Imperial organizations.","common, tribunal_temple, dunmer","Almsivi, Tribunal, Dunmer, Morrowind, Vivec, Ghostgate, Ghostfence, Indoril, Redoran, Armistice, religion, orthodoxy",factions
morag_tong,Foresters Guild,"The Morag Tong is an ancient guild of assassins headquartered in Morrowind, operating in the name of Mephala. Active since at least the First Era, the Tong holds a unique sanctioned status under the Morrowind government, legally performing executions bound by contracts known as writs. Extralegal gray writs are also rumored to exist. The Great Houses frequently employ the Tong to eliminate rivals, providing a preferred alternative to open warfare. The Tong's doctrine holds that Mephala grows stronger with every murder in her name, but certain killings please her more; murders born of hate surpass those driven by greed, and the slaying of great figures outweighs the deaths of unknowns. This philosophy originates from the guild's first leader, the original Night Mother.","scholar, morag_tong, dunmer, thief","The Morag Tong is an ancient guild of assassins operating in Morrowind in the name of Mephala. Uniquely sanctioned by the Morrowind government, the guild performs legal executions under contracts called writs, though extralegal gray writs are rumored. The Great Houses frequently employ the Tong to settle disputes and eliminate rivals without open conflict.","common, traveler, morag_tong, dunmer, thief","assassins, Mephala, Morrowind, writs, Great Houses, Night Mother, First Era, legal execution, gray writs, Dunmer, guild",factions
house_hlaalu,Hlaalu,"Great House Hlaalu is one of the five traditional Great Houses of the settled Dunmer, governing the Hlaalu District of western-central Morrowind from its ancient capital of Narsis. On Vvardenfell, its council seat resides in Balmora, with additional holdings in Suran, Hla Oad, and Gnaar Mok. Distinguished by its adaptability and opportunism, the house prioritizes business and diplomacy, valuing a good reputation alongside profit. Its willingness to embrace foreign cultures and Imperial trade sets it apart from more xenophobic Dunmer houses. This Imperial favor brings political and economic dominance, yet also invites corruption; many Hlaalu leaders and retainers are notoriously bribable, employing theft, blackmail, and espionage as readily as honest commerce. The house maintains positive ties with the Empire, the Tribunal Temple, and the Camonna Tong, while facing animosity from Houses Redoran, Telvanni, and Indoril. Its heraldry is the Golden Scales, and its patron saint is Veloth the Pilgrim.","scholar, house_hlaalu, dunmer, merchant","Great House Hlaalu is an adaptable and opportunistic Dunmer Great House that dominates trade and maintains close ties with the Empire. Governed from its Balmora council seat on Vvardenfell, the house values profit, diplomacy, and foreign tolerance, setting it apart from more xenophobic Dunmer factions. Its retainers are skilled merchants and spies, though notoriously bribable.","common, traveler, house_hlaalu, dunmer, merchant","Great House, Dunmer, Hlaalu, Balmora, merchant, trade, Imperial, Camonna Tong, Golden Scales, Vvardenfell, Morrowind",factions
house_redoran,Redoran,"Great House Redoran is one of the five remaining Great Houses of the Dunmer, governing the northwestern Redoran District from Blacklight. Steeped in tradition and piety, it champions the way of the warrior, long serving as Morrowind's de facto military. The Tribunal Temple is its natural ally, supplying many Buoyant Armigers, while Saint Nerevar the Captain serves as its patron. Redoran respects martial strength, holding the Fighters Guild and Imperial Legion in higher esteem than other Imperial institutions. It maintains strained relations with House Hlaalu, House Telvanni, the Morag Tong, and Ashlander tribes, but respects House Indoril and will fight alongside House Dres. On Vvardenfell, its council convenes in Ald'ruhn-under-Skar, within a colossal emperor crab shell.","scholar, house_redoran, dunmer, warrior, tribunal_temple","Great House Redoran is one of the five Great Houses of the Dunmer. Focused on martial skill and ancient tradition, it often serves as the military backbone of the Dunmer people and the Tribunal Temple. Distrustful of most Imperial institutions, Redoran respects only martial strength. Its Vvardenfell council seat is in Ald'ruhn-under-Skar.","common, traveler, dunmer, warrior","great house, dunmer, morrowind, warrior, tradition, ald'ruhn, blacklight, tribunal temple, vvardenfell, buoyant armigers, martial, duty",factions
house_telvanni,Telvanni,"Great House Telvanni is one of the Great Houses of Morrowind, governing the Telvanni District of the northeast and the eastern reaches of Vvardenfell from its council seat in Sadrith Mora. Comprised primarily of reclusive, egocentric wizard-lords, the House prizes arcane mastery, knowledge, and the forceful expression of individual will. Its members traditionally isolate themselves within towering fungal strongholds, pursuing solitary research and shunning outside politics. A minority of ambitious mages compete ruthlessly for Vvardenfell's resources, though the House publicly denies supporting these rogue factions. Advancement within Telvanni is notoriously ruthless; members often rise by eliminating or indisposing rivals. The Telvanni fiercely reject external authority, particularly that of the Mages Guild, and maintain a notorious tolerance of vampires. They are careless in observance of Tribunal doctrine, favoring ancestor worship instead.","scholar, house_telvanni, dunmer, mage","Great House Telvanni is a Great House of Morrowind dominated by reclusive wizard-lords. Governing the northeast and eastern Vvardenfell from Sadrith Mora, its members pursue arcane mastery within towering fungal strongholds. Telvanni society is ruthless and isolationist; mages advance by eliminating rivals, reject outside authority like the Mages Guild, and uniquely tolerate vampires.","common, traveler, house_telvanni, dunmer, mage","Great Houses, Morrowind, Dunmer, wizards, Sadrith Mora, isolationist, Mages Guild, vampires, Telvanni Council, fungal towers",factions
slavery_in_morrowind,Morrowind slavery,"Slavery is a legally protected institution in Morrowind, sustained by the Armistice of 2E 896, which exempted the province from the Empire's general abolition. The Dunmer consider slave ownership an ancient right, primarily raiding Black Marsh and Elsweyr for Argonian and Khajiit captives. Enslaved individuals are restrained by magical bracers and held in plantations, mines, and Telvanni markets. Abolitionist movements, notably the Twin Lamps, actively oppose the practice, aiding escapees and operating through safe havens like the Argonian Mission in Ebonheart. The tension between Imperial law and Dunmer tradition makes slavery a deeply divisive issue across Vvardenfell.","scholar, dunmer, argonian, khajiit, twin_lamps","Slavery is legally protected in Morrowind under the Armistice, though it is outlawed elsewhere in the Empire. The Dunmer primarily enslave Argonians and Khajiit, holding them in plantations and mines using magical bracers. Abolitionist groups like the Twin Lamps resist this practice and help escaped slaves find refuge.","common, traveler, dunmer, argonian, khajiit, twin_lamps","slavery, Morrowind, Dunmer, Argonian, Khajiit, Twin Lamps, abolitionism, Armistice, Imperial law, Ebonheart, plantations",cultures
seyda_neen,,"Seyda Neen is a House Hlaalu port village in the southern Bitter Coast, bordering the Ascadian Isles. Known as the Gateway to Vvardenfell, it serves as a vital waypoint for Imperial travelers entering or leaving the island. The Empire maintains a Coastguard station and Census and Excise Office at the harbor, processing arrivals and restocking Imperial cutters that patrol against smugglers. The Grand Pharos, a renowned lighthouse at the harbor mouth, guides mariners throughout the Inner Sea. Over the centuries, the village has absorbed Imperial, Nordic, and Dunmeri architectural elements. Silt striders offer overland transport to Balmora, Gnisis, Suran, and Vivec.","traveler, scholar, bitter_coast","Seyda Neen is a small House Hlaalu port village in the southern Bitter Coast, widely known as the Gateway to Vvardenfell. Imperial travelers are processed through its Census and Excise Office, and the Grand Pharos lighthouse guides mariners navigating the Inner Sea. Silt striders provide transport to major destinations across the island.","common, bitter_coast","port, village, Bitter Coast, House Hlaalu, Imperial Legion, Census and Excise, Grand Pharos, silt strider, Vvardenfell, Ascadian Isles, seaport",settlements
vivec_city,City of Vivec,"Vivec City, the largest settlement on Vvardenfell, serves as the holy seat of the Tribunal Temple on the island. Named for the Warrior-Poet Vivec, who resides within its boundaries, the city is also called the City of Swords for the laws that cut citizens into better shape. Constructed across nine artificial cantons in Norvayn Bay on Vvardenfell's southern coast, each island-canton is a massive multi-tiered structure the size of a small town, connected by bridges and walkways over seawater canals. The cantons are organized into Underworks, Canalworks, Waistworks, and Plaza tiers. Ordinators, the Temple's militant order, police the city, though they avoid the Underworks. The Ministry of Truth, a celestial body suspended above the city by Vivec, looms as both a monument and a threat.","traveler, scholar, ascadian_isles, tribunal_temple","Vivec City is the largest city in Vvardenfell, situated on the southern coast. Named after the god Vivec, it is the holy seat of the Tribunal Temple on the island. The city consists of nine artificial cantons—massive multi-tiered buildings connected by bridges and walkways over water. Ordinators of the Temple serve as its guards. The Ministry of Truth floats above the city.","common, ascadian_isles, tribunal_temple","Vvardenfell, Ascadian Isles, Tribunal Temple, canton, Ordinators, Ministry of Truth, Norvayn Bay, Warrior-Poet, Baar Dau, artificial island",settlements
mournhold,City of Light and Magic,"Mournhold, also called Mourning Hold, the City of Light and Magic, the City of Gems, and the City of Love and Charity, is a major mainland Morrowind city in the Deshaan region. As the district seat of Great House Indoril and the epicenter of the Tribunal Temple, it draws pilgrims and priests to Mournhold Temple, the palace of the god-king Almalexia. Both the city and its surrounding metropolis share her name. Built atop the underground ruins of Old Mournhold, it is perhaps the largest and oldest settlement in the province, renowned for its grand, majestic architecture despite a brooding reputation. It has long served as the capital of Morrowind.","traveler, scholar, mournhold, tribunal_temple","Mournhold is a major city in mainland Morrowind's Deshaan region. Known as the City of Light and Magic, it is the district seat of House Indoril and the epicenter of the Tribunal Temple. Pilgrims travel to Mournhold Temple, the palace of the god-king Almalexia. The city and its surrounding metropolis are also called Almalexia.","common, mournhold, tribunal_temple","Morrowind, Deshaan, House Indoril, Tribunal Temple, Almalexia, Mournhold Temple, Old Mournhold, pilgrimage, capital, mainland",settlements
solstheim,,"Solstheim, meaning Sun's Home, is a large island in the Sea of Ghosts north of Tamriel. The Snow Elves were its first inhabitants, building grand settlements that outlasted their mainland holdings. Nordic influence has traditionally dominated the island, which is home to the Skaal, a reclusive tribe maintaining ancient traditions. Southern Solstheim suffers from continuous ash deposits blown from Red Mountain on Vvardenfell, devastating once-fertile pine forests and settlements, while the northern reaches retain their harsh, frozen character.","traveler, scholar, solstheim, nord, skaal","Solstheim is a large, frigid island in the Sea of Ghosts north of Tamriel. Snow Elves were its first inhabitants, though Nordic influence has traditionally dominated. The Skaal tribe resides here, and ash from Red Mountain continually afflicts the island's southern half.","common, solstheim, nord, skaal","Solstheim, Sea of Ghosts, Nord, Skaal, Snow Elves, Red Mountain, Ashlands, Island, Northern Tamriel",regions
skaal,Skaal Tribe,"The Skaal are an isolated tribe of Nords inhabiting a village along Solstheim's Felsaad Coast, near Lake Fjalding. According to their oral traditions, they descend from Dragon Cult loyalists who survived a cataclysmic battle that severed Solstheim from the Skyrim mainland. This heritage and profound isolation fostered a distinct culture centered on the worship of the All-Maker. Unlike mainstream Nords, the Skaal strive to live in harmony with nature, relying entirely on the land for their needs and rarely accepting coin from travelers. Their settlement, the northernmost in Tamriel, consists of sturdy wooden homes arranged around a central Greathall. While they can be hospitable, Skaal Honor Guards clad in traditional Nordic mail vigilantly protect the village from intruders.","traveler, scholar, skaal, nord, solstheim","The Skaal are an isolated tribe of Nords dwelling in a village on Solstheim's Felsaad Coast. They diverge from mainstream Nordic culture by striving to live in harmony with nature, guided by their worship of the All-Maker. Their settlement, the northernmost in Tamriel, is defended by vigilant Honor Guards.","common, nord, solstheim","Skaal, Nords, Solstheim, Felsaad Coast, All-Maker, Dragon Cult, Lake Fjalding, tribe, isolated culture",cultures
scrib,,"Scribs are the larval stage of the kwama, large insects native to Morrowind whose colonies form the basis of the Dunmer egg mining economy. Though not aggressive, scribs defend themselves by secreting a substance that induces paralysis. Scrib jelly is harvested as a common food and alchemical ingredient. The scrib's image appears on banners throughout Vvardenfell to denote nearby taverns, reflecting its deep cultural familiarity among the Dunmer.","traveler, scholar, hunter, dunmer","Scribs are the larval form of the kwama, large insects kept in colonies for their eggs. Though unaggressive, they can paralyze attackers. Scrib jelly is a common Dunmer food, and the scrib image marks tavern banners across Vvardenfell.",common,"kwama, larva, insect, Morrowind, Dunmer, paralysis, scrib jelly, tavern, egg mine, Vvardenfell",creatures
silt_strider,,"Silt Striders are giant arthropods native to Morrowind, towering up to sixty feet high. Their tough carapaces allow them to endure Vvardenfell's harsh environments and survive the Ash Blight that exterminated many native species. Domesticated by the Dunmer, they serve as the primary civilian transport across an elaborate network connecting the island's cities. Caravaners steer the creatures by directly manipulating exposed organs and tissues using specialized hooks. Since the arthropods lack natural cavities, passenger and cargo compartments are hollowed directly into their chitinous shells. Cities like Gnisis and Molag Mar maintain dedicated docks to facilitate trade shipments. Desiccated remains frequently dot the Ashlands, testament to the creatures' enduring presence in the region.","scholar, traveler, dunmer","Silt Striders are towering giant arthropods native to Morrowind, commonly used as the primary means of civilian transport across Vvardenfell. Dunmer caravaners steer them by manipulating exposed organs with specialized hooks. Passengers and cargo ride in compartments hollowed directly into the creatures' chitinous shells.",common,"arthropod, transport, Vvardenfell, caravaner, domesticated, Morrowind, Ashlands, travel",creatures
kagrenacs_tools,"Tools of Kagrenac, Kagrenac's profane tools","Kagrenac's Tools are three legendary Dwemer artifacts—Wraithguard, Keening, and Sunder—forged by Lord Kagrenac to tap the divine power of Lorkhan's Heart. Wraithguard is a protective gauntlet, Sunder a hammer to strike the heart and draw power, and Keening a blade to flay and focus that power. Kagrenac's use of these tools during the Battle of Red Mountain coincided with the complete disappearance of the Dwemer. Recovered by Lord Nerevar and Voryn Dagoth, the tools became the center of a fatal dispute. The Tribunal later broke their oath and used them to attain godhood, while Dagoth Ur's unguarded exposure fused him to the Heart. The Dissident Priests consider these artifacts cursed, arguing that their corrupting influence has doomed both the Tribunal and Dagoth Ur.","scholar, esoteric, dwemer, mage, house_dagoth, tribunal_temple","Kagrenac's Tools are three Dwemer artifacts—Wraithguard, Keening, and Sunder—created to draw upon the divine power of Lorkhan's Heart. Their use at the Battle of Red Mountain coincided with the disappearance of the Dwemer. The Tribunal later used them to attain godhood, though many consider the tools cursed and inherently corrupting.","esoteric, dwemer, tribunal_temple","artifact, dwemer, lorkhan, heart, tribunal, dagoth_ur, wraithguard, keening, sunder, red_mountain, kagrenac",artifacts
keening,Kagrenac's dagger,"Keening is a legendary Dwemer short blade forged by Lord Kagrenac, Tonal Architect of the lost Dwemer race. Alongside Sunder and Wraithguard, it forms the essential toolset required to tap the mythic power of the Heart of Lorkhan. Following the Battle of Red Mountain, the Tribunal claimed the tools, though Keening and Sunder were eventually lost during a Third Era pilgrimage to the Heart. The blade now rests within the Odrosal citadel, deep within the Red Mountain region. Keening channels profound tonal resonances; to wield it barehanded is to suffer immediate mortal devastation, necessitating Wraithguard's protective enchantment to safely harness its power.","scholar, esoteric, dwemer, mage, house_dagoth","Keening is a legendary Dwemer dagger forged by Lord Kagrenac. Together with Sunder and Wraithguard, it is one of the three tools required to handle the Heart of Lorkhan. The Tribunal once possessed these artifacts after the Battle of Red Mountain, but Keening was later lost and remains hidden within the Red Mountain region.","esoteric, dwemer","artifact, Dwemer, Kagrenac, Tonal Architecture, Heart of Lorkhan, Keening, Sunder, Wraithguard, Red Mountain, House Dagoth, Odrosal, Almsivi",artifacts
sunder,Kagrenac's hammer,"Sunder is a legendary Dwemer hammer crafted by Lord Kagrenac, Tonal Architect of the Dwemer. Alongside Keening and Wraithguard, it forms the toolset necessary to manipulate the Heart of Lorkhan. Following the Battle of Red Mountain, the Almsivi claimed all three tools, though Sunder and Keening were eventually lost during a Third Era pilgrimage to the Heart. The hammer currently resides within Vemynal, held by Dagoth Vemyn of the Sixth House. Without the protective ward of Wraithguard, handling Sunder inflicts a lethal mortal wound upon the wielder.","scholar, esoteric, dwemer, mage, house_dagoth","Sunder is a legendary Dwemer hammer crafted by Lord Kagrenac to manipulate the Heart of Lorkhan. Alongside Keening and Wraithguard, it is essential for tapping the Heart's divine power. Following the Battle of Red Mountain, the Almsivi acquired the tools, but Sunder was later lost and fell into the hands of House Dagoth. It cannot be safely wielded without Wraithguard.","esoteric, dwemer, house_dagoth","artifact, Dwemer, Kagrenac, Tonal Architecture, Heart of Lorkhan, Keening, Wraithguard, House Dagoth, Dagoth Vemyn, Red Mountain, hammer",artifacts
wraithguard,Kagrenac's gauntlet,"Wraithguard is a legendary Dwemer gauntlet crafted by Lord Kagrenac, the Tonal Architect of the Dwemer. Designed to safely handle the profane tools Keening and Sunder, it is essential for any mortal seeking to tap the mythopoeic energies of the Heart of Lorkhan. Vivec holds the functioning right-hand version, offering it to the Nerevarine for the assault on Red Mountain. Should Vivec perish before bestowing it, the inactive artifact can be recovered and brought to the last living Dwarf, Yagrum Bagarn, who can harmonize it using Kagrenac's journal and planbook; however, activating this jury-rigged version without divine safeguards inflicts severe and permanent harm upon the wielder.","scholar, esoteric, dwemer, mage, house_dagoth, tribunal_temple","Wraithguard is a legendary Dwemer gauntlet created by Lord Kagrenac. It allows mortals to safely handle Keening and Sunder, the tools required to manipulate the Heart of Lorkhan. Vivec possesses the functioning right-hand gauntlet and grants it to the Nerevarine.","esoteric, dwemer, tribunal_temple","Dwemer artifact, Kagrenac, Heart of Lorkhan, Keening, Sunder, Vivec, Yagrum Bagarn, Tonal Architecture, mythopoeic enchantments, gauntlet, Red Mountain",artifacts
