plugin,baseid,name,description
Morrowind.esm,sc_telvinscourage,Scroll of Telvin's Courage,A tightly rolled parchment scroll bound with a worn cord features faded script and discolored edges.
Tribunal.esm,silver dagger_rathalas_unique,Rathalas Dagger,A slender silver dagger with a tapered double-edged blade and a polished crossguard fitted to a fluted grip.
Bloodmoon.esm,bk_BM_Aevar,The Story of Aevar Stone-Singer,"A rolled parchment scroll bound with a faded cord, featuring aged yellowed edges and tightly wound cylindrical form."
Morrowind.esm,bk_Ajira1,Ajira's Mushroom Report,"A rolled parchment scroll with frayed edges and a darkened, worn surface, tied loosely with a thin cord."
Morrowind.esm,bk_RealBarenziah1,The Real Barenziah v I,A quarto-format volume bound in worn leather covers with faded gilt lettering on the spine.
Tribunal.esm,iron mace,Iron Mace,A heavy one-handed blunt weapon featuring a dark iron head with thick flanges mounted on a sturdy haft.
Morrowind.esm,shield of the undaunted,Shield of the Undaunted,"A chitin shield shaped from lacquered insect resin and reinforced with dark, segmented ridges along the border."
Morrowind.esm,BookSkill_Short Blade3,"2920, Evening Star","A thick octavo volume bound in worn brown leather, its gilt-edged pages secured within a sturdy cover."
Morrowind.esm,bk_provinces_of_tamriel,Provinces of Tamriel,"A tightly wound parchment scroll secured with a worn cord, featuring faded ink script detailing regional geography across its yellowed surface."
Tribunal.esm,belt_goval,Ralen Family Belt,"A common leather belt fastened with a simple metal buckle, bearing the Ralen family insignia stamped into the strap."
Morrowind.esm,bk_guide_to_vivec,Guide to Vivec,"A rolled parchment scroll secured with a worn tie, featuring densely inked script across its yellowed surface."
Morrowind.esm,BookSkill_Alteration3,Sithis,"An open octavo volume featuring a dark, worn binding and exposed pages of faded, closely written text."
Morrowind.esm,orcish_cuirass,Orcish Cuirass,"Constructed from heavy overlapping plates of bronze metal, the angular cuirass features broad, layered shoulder guards."
Morrowind.esm,crimson despair amulet,Crimson Despair Amulet,"A crimson gemstone set within an expensive gold wire frame, suspended from a delicate matching chain."
Morrowind.esm,sc_restoration,Scroll of Restoration,"A tightly wound parchment scroll features faded ink script and worn, curling edges bound by a frayed cord."
Tribunal.esm,key_thendas,Thendas key,"A plain wrought-iron key with a simple rectangular bow, a short shaft, and a single blunt tooth."
Morrowind.esm,common_skirt_04,Common Skirt,"A tailored Imperial skirt of sturdy woven fabric, cut to fall loosely from the waist down to the ankles."
Morrowind.esm,ebony_shield,Ebony Shield,"A heavy shield formed from polished black ebony metal, featuring a curved rectangular body and reinforced central boss."
Morrowind.esm,key_shaadniusslaves_01,Sha-Adnius Slave Key,"A simple brass key with a standard iron bow and cut bit, fitted to a plain ring."
Morrowind.esm,p_chameleon_q,Quality Potion of Shadow,"A tall, angular glass vial sealed with a dark stopper holds a murky, shadow-hued liquid."
Morrowind.esm,p_levitation_e,Exclusive Rising Force Potion,"A tall, slender glass vial sealed with a faceted stopper contains a pale, swirling liquid."
Morrowind.esm,sc_drathiswinterguest,Scroll of Drathis' Winter Guest,A tightly rolled parchment scroll secured with a knotted cord and fitted with wooden end caps.
Bloodmoon.esm,BM nordic_longsword_tracker,Nordic Silver Longsword,"A long-bladed one-handed sword forged from pale silver metal, fitted with a crossguard and a grip wrapped in dark leather."
Tribunal.esm,dwemer_shield_battle_unique,Dwemer Battle Shield,"A heavy rectangular bronze shield with rounded corners, riveted bands, and geometric Dwemer relief patterns across its face."
Morrowind.esm,p_frost_resistance_q,Quality Frost Resistance,"A tapered green glass vial sealed with a cork stopper, containing a pale blue liquid swirling with icy flecks."
Morrowind.esm,key_standard_01_darvam hlaren,Darvam Hlaren's Key,"A small iron key with a simple rectangular bow and a single-toothed bit, fitted with a plain ring."
Bloodmoon.esm,misc_com_wood_cup_01,Cup,A simple wooden cup carved from a single block of pale timber with a rounded bowl and a sturdy flat base.
Morrowind.esm,misc_com_silverware_spoon,Spoon,A slender silver spoon with an elongated oval bowl and a narrow handle tapering to a rounded terminal.
Tribunal.esm,bk_Alen_note,handwritten letter,"A folded parchment scroll bearing handwritten ink lettering across its yellowed, slightly creased surface."
Morrowind.esm,ring of the black hand,Ring of the Black Hand,A thick expensive ring of dark metal bearing an engraved black hand symbol on its wide circular face.
Morrowind.esm,blessed_tower_shield,Blessed Tower Shield,A tall rectangular steel tower shield reinforced with a central metal boss and fitted with sturdy leather straps.
Bloodmoon.esm,BM_wolf_greaves_snow,Snow Wolf Greaves,Pale white wolf pelts stitched over flexible leather to form fitted leg armor covering the thighs and shins.
Morrowind.esm,steel longsword,Steel Longsword,"A steel longsword with a leaf-shaped blade, a straight crossguard, a dark grip, and a round pommel."
Morrowind.esm,index_valen,Valenvaryon Propylon Index,A faceted crystalline shard of pale blue stone carved with angular geometric lines and polished to a smooth translucent finish.
Morrowind.esm,wild shardblade,Wild Shardblade,"A short glass blade tapers to a jagged tip, its translucent green surface catching light along the faceted edges."
Tribunal.esm,Indoril_Almalexia_Greaves,Her Hand's Greaves,Gold-trimmed indigo greaves shaped from layered chitin plates protect the upper legs with ornate ceremonial craftsmanship.
Morrowind.esm,bk_BrownBook426,Brown Book of 3E 426,"A slim brown volume bound in worn leather covers, its octavo pages secured by a plain cord binding."
Morrowind.esm,key_yakanalitslaves_01,Yakanalit Slave Key,"A simple iron key with a flat, toothed blade and a plain bow."
Morrowind.esm,key_yinglingbasement,Yngling Manor Basement Key,A plain iron key with a simple toothed blade and a flat rectangular bow intended for Yngling Manor's basement lock.
Morrowind.esm,templar bracer left,Imperial Templar Left Bracer,"A segmented steel left bracer shaped to guard the forearm, fitted with leather straps and bearing Imperial heraldic engravings."
Morrowind.esm,key_nelothtelnaga2,Key to Tel Naga,"A simple iron key cut with standard wards, intended to open a door within Tel Naga."
Bloodmoon.esm,bm_ring_marksman,Ring of Raven Eye,An expensive gold ring shaped into a stylized raven eye with a polished dark gemstone set at its center.
Tribunal.esm,key_dwe_satchel00,Rusty Dwemer Key,"A corroded bronze key with a simple rectangular bow, a short shaft, and a single blunt ward bit."
Tribunal.esm,silver dagger_othril_unique,Othril Dagger,A slender silver dagger features a tapered double-edged blade and a polished crossguard fitted to a fluted grip.
Morrowind.esm,expensive_glove_right_01,Expensive Right Glove,A well-crafted right glove of fine leather with stitched seams and a fitted cuff for a snug hand fit.
Bloodmoon.esm,sc_GrandfatherFrost,The Song of Grandfather Frost,"A rolled parchment scroll bound with a worn cord, featuring faded ink script across its yellowed, curling edges."
Morrowind.esm,daedric wakizashi,Daedric Wakizashi,A curved short blade with a blackened edge and a dark red hilt wrapped in braided leather.
Bloodmoon.esm,misc_com_wood_cup_02,Cup,A small wooden cup carved from a single block and fitted with a simple rounded handle.
Morrowind.esm,khan belt,Khan Belt,"An extravagant belt crafted from supple leather, featuring an ornate metal buckle and decorative embossing along its length."
Morrowind.esm,grey shaft of nonsense,Grey Shaft of Nonsense,"A grey-painted steel arrow fitted with a slender shaft, a pointed head, and cleanly cut fletching."
Morrowind.esm,light_de_candle_green_01_Off,Bamboo Candlestick,"A segmented bamboo candlestick holds a green candle atop its hollow, jointed stalk."
Morrowind.esm,bookskill_heavy armor5,"36 Lessons of Vivec, Sermon 12","A thick octavo volume bound in worn leather covers, its pages filled with dense script and bearing faded gilt edges."
Morrowind.esm,steel blade of heaven,Steel Blade of Heaven,A short steel blade extends from a crossguard shaped like outstretched dragon wings on a narrow hilt.
Bloodmoon.esm,bk_Airship_Captains_Journal,Airship Captain's Journal,A worn folio of bound pages shows a creased cover and stained edges from extensive handling during voyages.
Morrowind.esm,p_fire_shield_q,Quality Potion of Fire Shield,"A tall, angular glass vial sealed with a brass cap holds a reddish liquid within its clear walls."
Morrowind.esm,key_slave_addamasartus,Addamasartus Slave Key,"A slender iron key with a simple rectangular bow and a notched blade, showing dark spots of age."
Morrowind.esm,key_nelothtelnaga,Key to Tel Naga,A plain iron key cut with standard ward notches and fitted with a simple rounded bow.
Morrowind.esm,key_cabin,Cabin Key,"A simple wrought-iron key with a flat, notched blade and a plain bow for gripping."
Morrowind.esm,key_hlaalo_manor,Hlaalo Manor Key,A standard brass key cut with simple wards and fitted with a plain rectangular bow.
Morrowind.esm,bonemold_bracer_right,Bonemold Right Bracer,"A right forearm bracer of bonemold, shaped from dark resin and bone dust into a segmented, angular guard."
Bloodmoon.esm,BM_Ice_Shield,Ice Shield,"A translucent shield formed from thick, jagged ice slabs, reinforced with frost-rimed metal bands across its surface."
Bloodmoon.esm,sc_Erna,Erna's Note to Brandr,"A folded paper note bearing handwritten text, secured with a simple wax seal across its edge."
Bloodmoon.esm,bk_BM_StoneMap,Locations of the Stones,"A rolled parchment scroll secured by a tied cord, featuring faded ink markings across its yellowed surface."
Morrowind.esm,p_frost_resistance_c,Cheap Frost Resistance,"A small, roughly blown glass vial stoppered with cork and containing pale blue liquid."
Morrowind.esm,dwarven spear,Dwarven Spear,"A long two-handed spear forged from golden Dwemer metal, featuring a tapered leaf-shaped blade mounted on a slender shaft."
Morrowind.esm,sc_didalasknack,Scroll of Didala's Knack,A tightly wound parchment scroll secured with a worn cord bears faded ink script across its yellowed surface.
Morrowind.esm,iron sparkmace,Iron Sparkmace,"A heavy one-handed mace of dark iron, its flanged head built to deliver blunt impacts and bright sparks."
Morrowind.esm,p_slowfall_s,Potion of Slowfalling,A fresh green potion contained in a rounded glass flask with a narrow neck and cork stopper.
Morrowind.esm,key_hodlismod,Simple Key,"A simple iron key with a flat, notched blade and a plain rectangular bow for gripping."
Morrowind.esm,Light_De_Candle_25,Redware Candle,"A simple redware candle formed from reddish-brown clay, featuring a wide shallow dish base and a central upright spout."
Morrowind.esm,exquisite_robe_01,Exquisite Robe,"A long, voluminous robe of finely woven fabric featuring wide sleeves and a deep, enveloping hood."
Morrowind.esm,common_shirt_01_z,Common Shirt,"A simple, loosely woven linen shirt with a plain collar and long sleeves."
Morrowind.esm,bk_shalit_note,Note to Giden,"A folded paper scroll bearing handwritten text addressed to Giden, showing slightly creased edges and faded ink."
Morrowind.esm,bookskill_security5,Surfeit of Thieves,"An open folio with worn pages bound between plain covers, its text detailing the exploits of cunning thieves."
Morrowind.esm,expensive_pants_01_z,Expensive Pants,"Tailored trousers of fine woven fabric in a muted yellowish shade, featuring a smooth front and fitted legs."
Morrowind.esm,ingred_resin_01,Resin,"A translucent, amber-hued chunk of hardened resin with rough, irregular edges and a glossy surface."
Morrowind.esm,light_com_Dae_cursed_candle_10,Silver Candlestick,A slender silver candlestick rises from a round weighted base to a small circular lip holding a stub of wax.
Morrowind.esm,bk_Dren_Hlevala_note,Note to Hlevala,A small sheet of rolled parchment formed into a tight cylinder and bound with a thin cord.
Morrowind.esm,morag_tong_helm,Morag Tong Helm,"A dark leather helmet with a narrow face guard and protective cheek plates, fitted with a distinctive visor."
Bloodmoon.esm,key_nuncius2,Nuncius' key,"A simple iron key with a flat, notched blade and a small looped handle for attaching to a ring."
Tribunal.esm,book_dwe_boom00,Old Dwemer Book,"A thick, open Dwemer book displays worn brass binding and faded, angular text across its broad, yellowed pages."
Morrowind.esm,BookSkill_Athletics5,"36 Lessons of Vivec, Sermon 31","A tall, narrow octavo volume bound in worn leather covers, featuring faded script across its thick pages."
Morrowind.esm,cruel viperarrow,Cruel Viperarrow,"A silver arrow with a narrow, barbed head shaped like a viper's curved fang."
Morrowind.esm,key_falas tomb keepers,Preserved Ancient Key,"A well-preserved old key with a rounded bow and notched bit, its metal surfaces largely free of corrosion."
Morrowind.esm,misc_dwrv_goblet00,Ornate Dwemer Goblet,"A tall brass goblet of Dwemer make, its stem and base ornamented with intricate geometric bands and circular motifs."
Morrowind.esm,key_Ashmelech_chest,Key to Asmelech chest,"A brass key with a flat, ornate bow and a simple, two-toothed bit intended for a temple chest."
Morrowind.esm,gauntlet _horny_fist_l,Left Gauntlet of the Horny Fist,"A left netch leather gauntlet with a reinforced grip and thick, knobby protrusions across the back and fingers."
Morrowind.esm,key_ulvil,Ulvil's Key,"A small brass key with a simple bit and a plain bow, showing minor tarnish along its edges."
Morrowind.esm,bk_guylainesarchitecture,Guylaine's Architecture,"A thick, well-bound folio with a dark leather cover and faded gilt lettering on the spine."
Bloodmoon.esm,light_com_lantern_01,Travel Lantern,A portable oil lantern of brass construction fitted with a protective cage of thin metal ribs surrounding a central flame.
Morrowind.esm,steel throwing star,Steel Throwing Star,"A flat, four-pointed steel throwing star forged with sharpened edges and a small circular hole near its center."
Morrowind.esm,bonebiter_bow_unique,Bonebiter Bow of Sul-Senipul,A short chitin bow reinforced with curved bone limbs and wrapped with rough cord along the grip.
Morrowind.esm,key_telbranoraslaves_01,Tel Branora Slave Key,"A simple iron key with a notched blade and a flat bow, intended for local slave bracers."
Morrowind.esm,firebite dagger,Firebite Dagger,A short dagger fashioned from brown chitin with a narrow tapering blade and organic contours.
Morrowind.esm,light_de_candle_red_02,Bamboo Candlestick,"A segmented bamboo candlestick holds a red candle, the pale wood joints fitted tightly around the slender wax column."
Morrowind.esm,war axe of wounds,War Axe of Wounds,"A heavy one-handed axe forged from brass-colored Dwemer metal, featuring a curved blade and geometric machinery engravings."
Morrowind.esm,brawlers_belt,Brawler's Belt,"A common leather belt fitted with a simple metal buckle, designed to secure garments during physical exertion."
Morrowind.esm,light_de_candle_11,Candle,"A slender wax cylinder fitted with a braided wick, seated in a small plain metal dish."
Morrowind.esm,cleaverstfelms,Cleaver of St. Felms,A single-bladed battle axe with a wide curved iron head mounted on a reinforced wooden haft.
Morrowind.esm,caius_shirt,Caius' Black Shirt,A loose black common shirt of simple cotton weave with a wide neck opening and short sleeves.
Morrowind.esm,dwarven halberd,Dwarven Halberd,"A heavy two-handed halberd forged from bronze Dwemer metal, fitted with a long socketed blade and a stout wooden shaft."
Morrowind.esm,expensive_shirt_01_u,Expensive Shirt,A well-tailored cloth shirt features a close-fitting collar and long sleeves with subtle decorative stitching along the cuffs.
Morrowind.esm,wooden staff of shaming,Wooden Staff of Shaming,A tall wooden staff features a smooth shaft and a rounded knob at the top.
Morrowind.esm,sc_tevralshawkshaw,Scroll of Tevral's Hawkshaw,A tightly wound parchment scroll features aged yellowed edges and two rounded wooden end caps.
Tribunal.esm,iron boots,Iron Boots,Heavy iron boots formed from dark metal plates riveted to thick leather and fitted with buckled straps.
Morrowind.esm,light_de_candle_16_64,Brass Candlestick,A tall brass candlestick featuring a slender cylindrical stem and a wide circular drip pan at its base.
Morrowind.esm,p_magicka_resistance_b,Bargain Magicka Resistance,"A cheap, thin-glass vial of murky liquid sealed with a rough cork and fitted with a simple string loop."
Morrowind.esm,6th bell hammer,Sixth House Bell Hammer,"A heavy two-handed maul with a corroded bronze head and a rough wooden shaft, fitted for ringing large bells."
Morrowind.esm,gauntlet_fists_r_unique,Fist of Randagulf Rt Gauntlet,"A heavy right gauntlet of thick leather and steel plates, its knuckle guard shaped into a massive, clenched fist."
Morrowind.esm,BookSkill_Conjuration2,Feyfolken III,"A quarto-sized book bound in worn leather covers, its spine bearing faded gilt lettering and the numeral three."
Morrowind.esm,key_aharunartusslaves_01,Aharunartus Slave Key,"A plain iron key with a simple rectangular bow and a single-toothed bit, fitted for a standard slave pen lock."
Morrowind.esm,daedric battle axe,Daedric Battle Axe,A heavy two-handed axe forged from blackened metal with sweeping blades and sharp angular protrusions.
Morrowind.esm,flameguard robe,Flameguard Robe,"A full-length hooded robe of common weave, its fabric dyed in warm red and orange tones."
Morrowind.esm,hunter's belt,Hunter's Belt,An expensive leather belt fitted with a polished metal buckle and detailed with fine stitching along the strap.
Morrowind.esm,ring_mentor_unique,Mentor's Ring,A polished gold ring formed into interlocking bands with an engraved geometric pattern across the broad bezel.
Morrowind.esm,light_com_lantern_02_128,Travel Lantern,"A portable oil lantern with a cylindrical metal frame, a domed top, and a protective wire cage surrounding the flame."
Tribunal.esm,netch_leather_gauntlet_right,Netch Leather Right Gauntlet,"A right hand gauntlet of boiled netch leather, shaped with segmented finger plates and a reinforced cuff."
Morrowind.esm,light amulet,Light Amulet,"A common circular amulet of plain metal hangs from a slender chain, bearing no ornamentation."
Morrowind.esm,artifact_amulet of heartheal,Amulet of Heartheal,A round metallic amulet centered with a polished crimson stone and bordered by engraved scrollwork along the outer rim.
Morrowind.esm,steel sparksword,Steel Sparksword,"A leaf-bladed steel longsword features a broad, tapering blade with a flared midsection and a simple crossguard."
Bloodmoon.esm,apparatus_j_calcinator_01,Journeyman's Calcinator,A heat-shaped calcinator of dark metal features a wide-bellied base tapering into a narrow chimney neck.
Morrowind.esm,p_night-eye_e,Exclusive Potion of Night-Eye,"A tall, rounded glass vial sealed with a wax stopper contains a dark, opaque liquid."
Morrowind.esm,bk_guide_to_sadrithmora,Guide to Sadrith Mora,"A tightly wound parchment scroll secured with a worn cord, its yellowed surface covered with dense, dark ink script."
Tribunal.esm,book_dwe_water00,Old Dwemer Book,"A thick octavo volume bound in tarnished brass fittings with dark, heavily creased pages and a worn Dwemer cover."
Morrowind.esm,bonemold long bow,Bonemold Long Bow,"A tall long bow crafted from pale bonemold resin, featuring curved limbs and a wrapped grip."
Morrowind.esm,sc_fifthbarrier,Scroll of The Fifth Barrier,"A tightly wound parchment scroll secured by a cord, featuring faded ink script across its yellowed surface."
Morrowind.esm,key_kind,Kind's Key,"A simple, unadorned iron key with a flat, notched blade and a plain rectangular bow."
Morrowind.esm,sc_ekashslocksplitter,Scroll of Ekash's Lock Splitter,A tightly wound parchment scroll features worn edges and a hollow central tube bound by a frayed cord.
Morrowind.esm,ingred_gravedust_01,Gravedust,"A small heap of pale, powdery ash composed of fine, gritty particles that clump together loosely."
Tribunal.esm,iron_helmet,Iron Helmet,"A dark iron helmet with a rounded skull cap, narrow eye slit, and riveted metal cheek guards."
Morrowind.esm,key_kogoruhn_sewer,Lower Kogoruhn Key,"A plain iron key with a simple rectangular bow and a single-toothed bit, showing dark discoloration along its shaft."
Morrowind.esm,Gold_Dae_cursed_001,Gold,"A small stack of circular golden coins bearing faintly stamped designs on their worn, lustrous surfaces."
Morrowind.esm,cephalopod_helm,Telvanni Cephalopod Helm,"A domed helmet shaped like a cephalopod head, featuring textured tentacles curling down around the facial opening."
Morrowind.esm,iron viperskewer,Iron Viperskewer,"A long two-handed iron spear featuring a narrow, viper-fanged tip mounted on a sturdy wooden shaft."
Bloodmoon.esm,ingred_moon_sugar_01,Moon Sugar,"Fine white crystalline granules are heaped in a small mound, gleaming with a faintly luminous sheen."
Morrowind.esm,misc_com_metal_plate_03,Plate,"A flat, circular metal plate with a slightly raised rim and a polished surface showing faint hammer marks."
Morrowind.esm,light_de_lantern_10_128,Paper Lantern,A rectangular paper lantern with a thin wooden frame and a small candle resting inside.
Bloodmoon.esm,BM_NordicMail_gauntletR,Nordic Mail Right Gauntlet,A right-hand mail gauntlet of interlocking dark metal rings fitted over leather backing with wrist lacing.
Morrowind.esm,amulet of rest,Amulet of Rest,An expensive gold amulet formed from a smooth oval pendant suspended from a slender chain.
Morrowind.esm,steel viperscythe,Steel Viperscythe,"A curved steel blade extends from an elongated hilt, forming a sleek two-handed weapon with a sweeping, fang-like profile."
Morrowind.esm,misc_de_drum_02,Guarskin Drum,A round-bodied drum with a taut pale hide stretched across a shallow wooden frame.
Morrowind.esm,p_restore_personality_e,Exclusive Restore Personality,"A tall, slender glass flask with a narrow neck, filled with a shimmering golden liquid and sealed with a wax stopper."
Tribunal.esm,stendar_hammer_unique_x,Stendarr's Hammer,A massive two-handed warhammer bears a heavy steel head engraved with the symbol of Stendarr atop a thick iron shaft.
Morrowind.esm,iron shardmace,Iron Shardmace,A heavy one-handed mace with an iron head featuring angular protruding shards designed to crush armor.
Morrowind.esm,common_shoes_02,Common Shoes,Simple low leather shoes with rounded toes and thin flat soles laced across the instep.
Morrowind.esm,sarandas_pants_2,Silk Pants,Luxurious silk trousers tailored in an exquisite cut feature subtle decorative stitching along the seams.
Bloodmoon.esm,misc_com_bottle_11,Bottle,"A clear glass bottle with a narrow neck and rounded body, sealed with a wooden stopper."
Morrowind.esm,Recall_Ring,Recall Ring,"A thick gold band features a prominent circular setting holding a polished gemstone, crafted with expensive detailing."
Morrowind.esm,light_de_candle_17_64,Brass Candlestick,"A slender brass candlestick supports a pale wax column, the golden metal shaped with a wide circular base and flared socket."
Morrowind.esm,common_ring_01_fg_nchur03,Common Ring,A plain metal band of simple construction with no ornamentation and a smooth polished finish.
Morrowind.esm,common_pants_01_a,Common Pants,"Simple, loose cloth trousers with a drawstring waist and an unadorned, sturdy plain weave."
Morrowind.esm,fuddle charm,Fuddle Charm,"A common circular amulet strung on a cord, fashioned from plain metal with a small central charm."
Tribunal.esm,misc_de_bowl_01,Bowl,"A smooth, rounded ceramic bowl with gently curving sides and a simple, unadorned rim."
Tribunal.esm,Ebony Scimitar_her,Her Ebony Scimitar,"A curved, single-edged long blade forged from dark ebony metal with a sweeping, widened profile."
Morrowind.esm,steel shardmace,Steel Shardmace,A steel one-handed mace features a heavy cylindrical head bristling with projecting blunt metal spikes.
Bloodmoon.esm,Light_Com_Candle_01,Iron Candlestick,"A simple wrought iron candlestick with a broad circular base, slender column, and a cup to hold a candle."
Morrowind.esm,artifact_heart_ring,Heart Ring,"A slender golden band shaped into a stylized heart, polished to a warm gleam and fitted for a finger."
Tribunal.esm,common_shirt_07,Common Shirt,"A simple, short-sleeved linen shirt with a plain collar and loosely stitched seams."
Morrowind.esm,exquisite_ring_brallion,Brallion's Exquisite Ring,A broad gold ring features an intricate filigree pattern across its polished surface.
Morrowind.esm,devote_Lyngas_Dust_00,Ashes of G. Lyngas,"Fine gray ash from cremated remains, visually indistinguishable from common vampire dust, stored in a small packet."
Tribunal.esm,mazed_band,Barilzar's Mazed Band,"An elaborate golden ring constructed from interlocking bands forming a complex, maze-like pattern across its polished surface."
Tribunal.esm,cuirass_savior_unique_x,Cuirass of the Savior's Hide,"A sculpted leather cuirass with segmented torso plates and pale, smooth hide stretched across the shoulders and back."
Morrowind.esm,daedric_greaves_htab,Daedric Greaves,"Curved obsidian plates with dark ebony banding form these segmented leg guards, each piece edged by sharp Daedric spines."
Morrowind.esm,p_fortify_personality_q,Quality Fortify Personality,A small angular glass vial of refined make contains a bright golden liquid sealed with a fitted stopper.
Morrowind.esm,bonemold_gah-julan_pauldron_l,Gah-Julan Bonemold L Pauldron,"A left shoulder pauldron of bonemold, shaped into overlapping plates with a prominent raised ridge along the upper edge."
Morrowind.esm,ingred_bc_spore_pod,Spore Pod,"A rounded, pale pod covered in small bumps, split open to reveal dark spores within."
Morrowind.esm,p_restore_willpower_s,Standard Restore Willpower,A small rounded glass flask contains a pale amber liquid sealed with a plain cork stopper.
Morrowind.esm,daedric dagger_soultrap,Soul Drinker,A jagged Daedric dagger features an ebon blade and a dark hilt wrapped with crimson cord.
Bloodmoon.esm,ingred_gravetar_01,Gravetar,"A cluster of small, dark red berries with smooth, waxy skins and tiny green stems attached at the crown."
Morrowind.esm,key_shushishislaves,Slave key,"A simple metal key with a rounded bow and notched bit, sized for standard locks."
Bloodmoon.esm,silver vipersword,Silver Vipersword,A slender silver long blade features a curved hilt shaped like a coiled viper with fangs forming the crossguard.
Morrowind.esm,sarandas_amulet,Firejade Amulet,"A polished amulet of warm reddish-orange firejade hangs from a slender metal chain, its smooth surface catching the light."
Morrowind.esm,key_molagmarslaves_01,Molag Mar Slave Key,"A plain iron key with a simple rectangular bow and a single cut bit, fitted for a corresponding slave pen lock."
Tribunal.esm,spell_breaker_unique_x,Spell Breaker,"A heavy rectangular shield forged from dark metal, its broad face deeply embossed with angular geometric patterns."
Tribunal.esm,fine black dart,Fine Black Dart,"A slender steel throwing dart forged with a fine, darkened black finish and a sharply pointed tip."
Bloodmoon.esm,BM silver dagger wolfender,Wolfender Silver Dagger,A short silver dagger with a tapered double-edged blade and a Nordic-style crossguard fitted to a plain hilt.
Bloodmoon.esm,sc_Erna01,Erna's Note to Erna,"A folded paper scroll bearing handwritten text intended for someone named Erna, with slightly creased edges."
Morrowind.esm,sc_inasismysticfinger,Scroll of Inasi's Mystic Finger,"A tightly rolled parchment scroll bound by a knotted cord, with faded ink writing visible across the yellowed surface."
Morrowind.esm,orcish_boots,Orcish Boots,Heavy boots of dark iron with angular overlapping plates and pointed toe guards form this Orcish footwear.
Morrowind.esm,bookskill_long blade4,"36 Lessons of Vivec, Sermon 20","A tall, narrow octavo volume bound in dark leather, its rectangular shape characteristic of this book format."
Morrowind.esm,steel viperslayer,Steel Viperslayer,A large two-handed steel claymore forged with a wide blade tapering to a pronounced thrusting tip.
Morrowind.esm,key_huleen's_hut,Key to Huleen's Hut,"A standard iron key cut with simple wards, attached to a small loop for a ring."
Morrowind.esm,key_j'zhirr,J'zhirr's Key,A small brass key with a simple toothed blade and a flat bow.
Morrowind.esm,rbonemold bracer of horny fist,Bonemold Bracer of Horny Fist,"A right bracer of lacquered bonemold plates shaped over a dark underlayer, fitted for the forearm."
Morrowind.esm,bk_InvocationOfAzura,Invocation of Azura,"A thick octavo volume bound in worn dark leather, with faded gilt symbols stamped across the spine and covers."
Morrowind.esm,key_helvi,Helvi's Key,A simple metal key with a rounded bow and notched blade of standard design.
Morrowind.esm,bk_vivec_murders,Nerevar at Red Mountain,A rolled parchment scroll bearing densely inked lines of text recounting the events at Red Mountain.
Morrowind.esm,teeth,Teeth of the Urshilaku,"A corded necklace strung with small, yellowed teeth carved from bone and worn smooth along the edges."
Bloodmoon.esm,silver arrow_thirsk_0,Silver Arrow,A slender flight arrow fitted with a pointed silver head and pale fletching bound to the pale shaft.
Tribunal.esm,daedric warhammer_ttgd_x,Veloth's Judgement,"A massive two-headed daedric warhammer forged from dark ebony, its heavy rectangular faces bordered by sharp curved projections."
Tribunal.esm,spear_mercy_unique_x,Spear of Bitter Mercy,"A long two-handed spear featuring a slender dark shaft and a narrow, elegantly pointed blade."
Morrowind.esm,sc_tranasasspellmire,Scroll of Tranasa's Spellmire,"A tightly wound parchment scroll features worn edges and a central tie cord securing the curled, yellowed sheet."
Morrowind.esm,spear_of_light,Spear of Light,"A long two-handed spear featuring a polished wooden shaft and a narrow, pointed metal head."
Morrowind.esm,bk_orderfrommollismo,Order From Mollismo,"A plain, unadorned scroll of pale paper rolled around a simple wooden dowel, bearing neatly penned script."
Morrowind.esm,BookSkill_Axe1,The Third Door,"An open quarto volume bound in worn leather, with a title stamped in faded gilt across the front cover."
Morrowind.esm,sc_windform,Scroll of Windform,"A tightly wound parchment scroll bearing faded script, secured by a worn cord."
Morrowind.esm,we_hellfirestaff,Hellfire Staff,A tall two-handed staff of polished black ebony features a spiraling shaft and a finial capped with dark metal.
Morrowind.esm,key_summoning_room,Summoning Room Key,A bronze temple key cast with a ornate handle and a notched blade for unlocking the summoning chamber.
Morrowind.esm,shockguard robe,Shockguard Robe,"A common long-sleeved robe of coarse fabric, loosely cut and unadorned, dyed a deep storm-gray hue."
Morrowind.esm,bk_ynglingletter,Yngling's Letter,"A rolled parchment scroll bound by a cord, featuring aged yellowed surfaces and curling edges."
Morrowind.esm,bk_EggOfTime,The Egg of Time,"A thick, rectangular folio bound with a flat spine and rigid covers enclosing numerous pages."
Morrowind.esm,bk_NoteToAmaya,Note to Amaya,"A tightly rolled parchment scroll secured with a simple cord, its surface covered in handwritten ink."
Morrowind.esm,bonemold_armun-an_cuirass,Armun-An Bonemold Cuirass,"A thick bonemold cuirass with a rounded torso, wide shoulder flanges, and a rough, dark reddish-brown lacquered finish."
Morrowind.esm,gauntlet_fists_l_unique,Fist of Randagulf Left Gauntlet,"A heavy left gauntlet of thick dark leather and riveted metal plates, shaped to encase the fist in formidable armor."
Morrowind.esm,steel club,Steel Club,A stout steel club features a thick haft and a heavy head bristling with short metal spikes.
Morrowind.esm,amulet of slowfalling,Amulet of Slowfalling,An exquisite gold amulet suspends a polished teardrop pendant from a delicate chain of interlocking links.
